id,title,reason
119828614,Менеджер по сопровождению пациентов (программы патронажа детей и ведения беременности),No skills listed
119530348,Портной женской одежды (Москва),No skills listed
119851932,Помощник лаборанта (утренние смены),No skills listed
120071396,Химик-лаборант ГРП,No skills listed
119071561,Лаборант-исследователь,No skills listed
120063085,Лаборант направления Клеи-расплавы,No skills listed
119633820,Лаборант химического анализа,No skills listed
119956350,Портной-лаборант,No skills listed
117617717,Лаборант химического анализа,No skills listed
119027203,Лаборант микробиологической лаборатории молокозавода,No skills listed
115414894,Лаборант,No skills listed
120033480,Техник-лаборант,No skills listed
117541579,Инженер-лаборант строительной лаборатории (в Строительный контроль),No skills listed
119673532,Химик-Лаборант,No skills listed
120107591,Ведущий инженер-лаборант,No skills listed
119809433,Лаборант химического анализа,No skills listed
119857321,Лаборант,No skills listed
108965058,Лаборант,No skills listed
119891568,Лаборант,No skills listed
120288525,Лаборант химического анализа,No skills listed
120214573,Лаборант,No skills listed
118248924,Рентген-лаборант/медицинская сестра/медицинский брат в отделение радионуклидной диагностики,No skills listed
118078024,Инженер-лаборант,No skills listed
119207208,Инженер-лаборант (в ДНР),No skills listed
120199459,Рентген-лаборант,No skills listed
119107353,Лаборант участка радиографического контроля,No skills listed
119645765,Контролер ОТК/лаборант,No skills listed
119927175,Лаборант отдела контроля качества,No skills listed
119504153,Лаборант дорожно-строительной лаборатории,No skills listed
117473648,Лаборант (ЖБИ),No skills listed
119784800,Лаборант по проведению испытаний сырья и готовой продукции в лабораторию,No skills listed
119495253,Фельдшер-лаборант/медицинский лабораторный техник,No skills listed
120234142,Лаборант (оператор мониторинга),No skills listed
120300983,Лаборант химического анализа 5 разряда,No skills listed
117315718,Лаборант,No skills listed
119817316,Инженер-химик/Лаборант для пробирного анализа,No skills listed
120268081,Лаборант,No skills listed
119501855,Инженер-лаборант 2 категории,No skills listed
120199377,Медицинский лабораторный техник,No skills listed
120318021,Лаборант химического анализа,No skills listed
119111668,Лаборант,No skills listed
120071602,Лаборант строительной лаборатории,No skills listed
120109236,Лаборант химического анализа,No skills listed
118352619,Помощник лаборанта,No skills listed
119676440,Лаборант химического анализа,No skills listed
120221980,Лаборант химического анализа,No skills listed
